№;ID;Наименование;Количество;Состояние;Поставщик;Производитель;Стоимость;Местоположение;Город
1;T001;Кофе молотый "Арбуз";50;Новое;ООО "Импорт Плюс";Бразилия;350 руб.;Склад;Москва
2;T002;Чай зеленый пакетированный;200;Новый остаток;ЗАО "Продукты 24";Китай;120 руб.;Магазин;Санкт-Петербург
3;T003;Молоко пастеризованное 3% жирн.;150;Повреждено;ООО "Молочный Мир";Россия;70 руб.;Склад;Екатеринбург
4;T004;Рис длиннозерный шлифованный;100;Новая партия;ООО "АгроТех";Таиланд;80 руб.;В пути;Новосибирск
5;T005;Масло подсолнечное рафинированное;80;Испорчено;АО "Маслопродукт";Таиланд;110 руб.;Магазин;Ростов-на-Дону
6;T006;Картофель свежий очищенный;300;Новое;ИП Иванов А.А.;Россия;50 руб.;Склад;Краснодар
7;T007;Хлеб ржаной;120;Остаток;ОАО "Хлебозаводы";Россия;35 руб.;Магазин;Нижний Новгород
8;T008;Сахар белый кристаллический;250;Испорчено;ООО "Россахар";Беларусь;60 руб.;Склад;Самара
9;T009;Шоколад молочный премиум-класса;60;Новое;ЗАО "Дары Востока";Швейцария;500 руб.;В пути;Омск
10;T010;Сок апельсиновый свежевыжатый;70;Неликвид;ООО "Фреш Фрут";Турция;180 руб.;Магазин;Уфа
11;T011;Вода минеральная газированная;180;Новое;ООО "АкваМир";Италия;90 руб.;Склад;Челябинск
12;T012;Консервы рыбные тунца;120;Новый остаток;ООО "Рыба-Торговля";Япония;250 руб.;В пути;Красноярск
13;T013;Макароны спагетти высшего сорта;200;Уценённое;ООО "Макаронные продукты";Италия;120 руб.;Магазин;Воронеж
14;T014;Печенье овсяное с шоколадом;150;Новое;ООО "Конфет-Юга";Германия;150 руб.;Склад;Саратов
15;T015;Колбаса вареная докторская;90;Повреждено;ООО "Колбасы-Россия";Россия;450 руб.;Магазин;Пермь
16;T016;Мясо курицы охлаждённое филе;60;Новая партия;ИП Петров Ю.Н.;Россия;300 руб.;Склад;Иркутск
17;T017;Бананы свежие;250;Повреждено;ООО "Экспорт Продуктов";Эквадор;80 руб.;В пути;Хабаровск
18;T018;Гречка ядрица;180;Остаток;АО "Злак-продукт";Россия;70 руб.;Магазин;Владивосток
19;T019;Сыр голландский твёрдый;100;Новое;ООО "СырПродукт";Голландия;600 руб.;Cклад;Ярославль
20;T020;Йогурт натуральный классический;150;Испорчено;ООО "Молочная Лавка";Финляндия;100 руб.;Магазин;Тюмень
21;T021;Курица гриль полуфабрикат;80;Новое;ООО "МясПром";Россия;350 руб.;Склад;Калининград
22;T022;Грибы шампиньоны свежие;120;Неликвид;ООО "Грибторг";Польша;180 руб.;В пути;Оренбург
23;T023;Салат Цезарь готовый;90;Остаток;ООО "Салат-Центр";Россия;250 руб.;Магазин;Сочи
24;T024;Креветки замороженные королевские;60;Повреждено;ООО "Морепродукты+";Вьетнам;800 руб.;Склад;Белгород
25;T025;Майонез столовый премиального качества;150;Новое;ООО "Майонезофф";Франция;150 руб.;В пути;Астрахань
26;T026;Торт бисквитный шоколадный;100;Уценённое;ООО "Кондитер-Плюс";Россия;500 руб.;Магази;Пенза
27;T027;Варенье клубничное домашнее;80;Новое;ИП Сидоров Г.И.;Россия;200 руб.;Склад;Саранск
28;T028;Виноград зелёный свежий;120;Повреждено;ООО "Южные фрукты";Чили;150 руб.;В пути;Махачкала
29;T029;Орех грецкий сушеный;100;Остаток;ООО "Орэкс";Казахстан;400 руб.;Магазин;Магнитогорск
30;T030;Мед липовый натуральный;60;Новое;ООО "Медовый край";Алтайский край;600 руб.;Склад;Тольятти
